LGG	50.64	5.44
JFK	40.64	-73.78
KEF	63.99	-22.60
BOS	42.36	-71.01
EWR	40.70	-74.17
BRU	50.90	4.48
YYZ	43.68	-79.63
BCN	41.30	2.08
ORD	41.98	-87.91
BUD	47.43	19.23
CDG	49.01	2.55
DFW	32.90	-97.04
MIA	25.79	-80.29
DUB	53.43	-6.25
FCO	41.80	12.24
FRA	50.04	8.57
HEL	60.33	24.97
LHR	51.47	-0.45
LAX	33.94	-118.41
RDU	35.88	-78.78
MAD	40.47	-3.56
MAN	53.35	-2.28
MXP	45.63	8.73
ZRH	47.46	8.55
DUS	51.28	6.75
RSW	26.54	-81.76
TXL	52.56	13.30
ATH	37.94	23.94
YUL	45.46	-73.75
CPH	55.61	12.63
YOW	45.32	-75.67
YYC	51.11	-114.02
GVA	46.24	6.11
YEG	53.30	-113.59
YHZ	44.88	-63.52
YVR	49.19	-123.19
YYT	47.62	-52.75
MUC	48.35	11.78
ATL	33.64	-84.43
DTW	42.22	-83.34
IAD	38.94	-77.46
IAH	29.98	-95.34
MCO	28.43	-81.32
MEX	19.44	-99.07
SEA	47.45	-122.31
SFO	37.62	-122.37
LGW	51.15	-0.20
CUN	21.03	-86.87
TPA	27.97	-82.54
BWI	39.18	-76.67
DEN	39.86	-104.67
LAS	36.08	-115.16
PHL	39.87	-75.25
PHX	33.44	-112.01
SAN	32.73	-117.19
AMS	52.31	4.77
ARN	59.66	17.93
BFS	54.65	-6.23
BHX	52.45	-1.75
EDI	55.95	-3.35
GLA	55.87	-4.43
HAM	53.63	10.00
LIS	38.78	-9.13
OSL	60.20	11.08
SNN	52.70	-8.92
STR	48.69	9.21
LUX	49.63	6.21
ANC	61.17	-149.99
AGP	36.67	-4.50
MEM	35.05	-89.98
MSP	44.89	-93.22
PDX	45.59	-122.60
CVG	39.05	-84.66
PIT	40.50	-80.24
SLC	40.78	-111.97
IST	40.98	28.82
NCE	43.66	7.22
PRG	50.10	14.27
SVO	55.98	37.42
VCE	45.50	12.35
VLC	39.49	-0.48
ORY	48.73	2.36
SFJ	67.01	-50.72
UAK	61.16	-45.43
RIX	57.02	24.05
SJU	18.44	-66.00
PMO	38.18	13.11
CLT	35.22	-80.94
WAW	52.17	20.97
SFB	28.78	-81.24
RKV	64.13	-21.94
JAV	69.22	-51.10
KUS	65.57	-37.12
LBE	40.28	-79.40
VIE	48.11	16.56
PDL	37.75	-25.68
DME	55.40	37.88
OPO	41.24	-8.67
LYS	45.73	5.08
MRS	43.44	5.22
YQB	46.79	-71.40
NTE	47.16	-1.61
PSR	42.43	14.18
SUF	38.91	16.24
KBP	50.20	30.90
